,SN,Freq,Level,Time,Freq Offset,Level Offset
873,874,1.872 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
994,995,1.993 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
634,635,1.633 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
525,526,1.524 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
324,325,1.323 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
795,796,1.794 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
115,116,1.114 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
861,862,1.86 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
22,23,1.021 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
867,868,1.866 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
837,838,1.836 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
578,579,1.577 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
497,498,1.496 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
941,942,1.94 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
521,522,1.52 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
666,667,1.665 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
665,666,1.664 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
408,409,1.407 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
598,599,1.597 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
332,333,1.331 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
904,905,1.903 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
593,594,1.592 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
542,543,1.541 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
943,944,1.942 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
677,678,1.676 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
922,923,1.921 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
31,32,1.03 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
953,954,1.952 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
134,135,1.133 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
69,70,1.068 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
511,512,1.51 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
597,598,1.596 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
296,297,1.295 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
773,774,1.772 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
462,463,1.461 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
19,20,1.018 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
647,648,1.646 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
932,933,1.931 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
